"time","open","high","low","close","MA1","MA2","MA3"
1591570800,"1,13018","1,13198","1,13004","1,13162","1,1146185","1,131704","1,12964375"
1591574400,"1,13162","1,13162","1,12967","1,12977","1,1147792","1,1314595","1,12973375"
1591578000,"1,12977","1,12995","1,12848","1,12933","1,11493635","1,1310805","1,12975875"
1591581600,"1,12933","1,12964","1,12886","1,12894","1,11508415","1,130661","1,12970375"
1591585200,"1,12894","1,12957","1,12894","1,12897","1,11523815","1,1303655","1,12968"
1591588800,"1,12897","1,12916","1,12866","1,12888","1,11539175","1,1301485","1,12967625"
1591592400,"1,12888","1,12943","1,12828","1,12916","1,11554975","1,12993","1,12960625"
1591596000,"1,12916","1,12968","1,12812","1,12943","1,11570595","1,12976","1,1295125"
1591599600,"1,12943","1,13084","1,12834","1,13001","1,11586675","1,1295825","1,12931125"
1591603200,"1,13001","1,13158","1,12963","1,13002","1,1160318","1,129606","1,1293425"
1591606800,"1,13002","1,13066","1,12888","1,12968","1,1161964","1,1296055","1,12938625"
1591610400,"1,12968","1,12974","1,12699","1,12712","1,11635215","1,129401","1,12915875"
1591614000,"1,12712","1,12787","1,12682","1,12764","1,11650925","1,129305","1,1289925"
1591617600,"1,12764","1,1303","1,12758","1,12939","1,1166787","1,129322","1,12905625"
1591621200,"1,12939","1,13186","1,12927","1,13097","1,11685425","1,129414","1,1292825"
1591624800,"1,13097","1,13131","1,12907","1,13008","1,117026","1,129449","1,12936375"
1591628400,"1,13008","1,13114","1,12852","1,12885","1,1171877","1,1294335","1,12921875"
1591632000,"1,12885","1,13016","1,12856","1,12911","1,1173549","1,1294435","1,129105"
1591635600,"1,12911","1,13015","1,12893","1,13013","1,1174929","1,129464","1,12916125"
1591639200,"1,13013","1,13087","1,12999","1,13038","1,1176366","1,129474","1,12956875"
1591642800,"1,13038","1,13046","1,12969","1,12972","1,1177765","1,129379","1,12982875"
1591646400,"1,12972","1,12973","1,1291","1,12939","1,1179243","1,12936","1,12982875"
1591650000,"1,12939","1,12942","1,1289","1,12902","1,11807555","1,1293445","1,129585"
1591653600,"1,12902","1,12961","1,12902","1,12947","1,1182362","1,129371","1,12950875"
1591657200,"1,12947","1,13053","1,12941","1,13041","1,11840435","1,129443","1,12970375"
1591660800,"1,13041","1,1315","1,12996","1,13042","1,11856905","1,12952","1,1298675"
1591664400,"1,13042","1,13043","1,12851","1,12923","1,11871945","1,1295235","1,129755"
1591668000,"1,12923","1,1293","1,1284","1,12873","1,1188682","1,1294885","1,12954875"
1591671600,"1,12873","1,12916","1,12849","1,12873","1,11901315","1,1294245","1,129425"
1591675200,"1,12873","1,12893","1,12841","1,12855","1,11915445","1,129351","1,12932"
1591678800,"1,12855","1,12957","1,12849","1,12915","1,1192976","1,1293245","1,12933625"
1591682400,"1,12915","1,12964","1,12661","1,1268","1,119425","1,1293085","1,1290025"
1591686000,"1,1268","1,12763","1,12551","1,12668","1,11955005","1,1292605","1,12853625"
1591689600,"1,12668","1,12704","1,1241","1,12618","1,1196694","1,1291","1,12800625"
1591693200,"1,12618","1,12739","1,12553","1,1267","1,11978965","1,1288865","1,12769"
1591696800,"1,1267","1,12834","1,12613","1,12818","1,11992145","1,1287915","1,12762125"
1591700400,"1,12818","1,12846","1,12688","1,1282","1,1200566","1,128759","1,127555"
1591704000,"1,1282","1,13024","1,12798","1,12997","1,12020245","1,128802","1,1277325"
